name,value,sign,magnitude,unit,uncertainty,is_dimensionless,sparse_signed_predicted,sparse_magnitude_predicted,sparse_relative_error_percent,sparse_log10_error,sparse_pass_1_percent,sparse_pass_0_1_percent,sparse_complexity,sparse_formula,exact_calibration_coefficient,exact_calibrated_predicted,exact_calibrated_relative_error_percent,status
Bohr magneton in K/T,0.67171381472,1,0.67171381472,K T^-1,2.1e-10,False,0.6719203983657199,0.6719203983657199,0.03075471148468453,0.000133545480192129,True,True,3,sign(1) * 1 * checksum^-1 * lnK^1 * U^1,0.9996925474413005,0.67171381472,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Bohr radius,5.29177210544e-11,1,5.29177210544e-11,m,8.2e-21,False,5.335702250401179e-11,5.335702250401179e-11,0.8301594264805611,0.0035904538695528824,True,False,5,sign(1) * 1 * bits^1 * dict^-3 * words^-1,0.9917667547963577,5.29177210544e-11,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Boltzmann constant,1.380649e-23,1,1.380649e-23,J K^-1,0.0,False,6.1335069477956684e-24,6.1335069477956684e-24,55.57519001718997,0.35237442111621314,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,2.2509944339366794,1.380649e-23,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Boltzmann constant in eV/K,8.617333262145179e-05,1,8.617333262145179e-05,eV K^-1,0.0,False,8.608815426997245e-05,8.608815426997245e-05,0.09884537233056911,0.00042949229926614064,True,True,3,sign(1) * 1 * K^1 * total_bits^-2,1.000989431730784,8.617333262145179e-05,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Boltzmann constant in Hz/K,20836619123.327576,1,20836619123.327576,Hz K^-1,0.0,False,20847699113.757366,20847699113.757366,0.05317556732313606,0.00023087717492021494,True,True,5,sign(1) * 1 * pi^-1 * dict^3 * lnDict^1,0.9994685269405832,20836619123.327576,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Boltzmann constant in inverse meter per kelvin,69.50348004861274,1,69.50348004861274,m^-1 K^-1,0.0,False,69.81928299509865,69.81928299509865,0.45436997725152894,0.0019688342224002315,True,False,3,sign(1) * 1 * bits^-1 * entropy^1 * U^1,0.995476852053779,69.50348004861274,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Boltzmann constant in inverse meters per kelvin,69.503457,1,69.503457,m^-1 K^-1,4e-05,False,69.81928299509865,69.81928299509865,0.45440328975096744,0.0019689782423397625,True,False,3,sign(1) * 1 * bits^-1 * entropy^1 * U^1,0.995476521935626,69.503457,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
characteristic impedance of vacuum,376.730313412,1,376.730313412,ohm,5.9e-08,False,374.34375,374.34375,0.6334938620641318,0.002759980298554161,True,False,3,sign(1) * 1 * bits^1 * total_bits^1 * bip_density^1,1.006375325919025,376.730313412,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
classical electron radius,2.8179403205e-15,1,2.8179403205e-15,m,1.3e-24,False,2.8070381400908017e-15,2.8070381400908017e-15,0.3868847161129283,0.001683477636168968,True,False,7,sign(1) * 1 * dict^-3 * words^-3 * U^-1,1.0038838732732165,2.8179403205e-15,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
Compton wavelength,2.42631023538e-12,1,2.42631023538e-12,m,7.6e-22,False,2.4253192047278085e-12,2.4253192047278085e-12,0.040845174608774605,0.0001774245766058941,True,True,5,sign(1) * 1 * K^-1 * dict^-3 * checksum^-1,1.0004086186470877,2.4263102353800004e-12,1.6646543281383026e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
